Image Name, Time, UTM Zone, Easting (m), Northing (m), Altitude (m), Relative Altitude (m), Roll (rad), Pitch (rad), Yaw (rad)
112.jpg, 1479401041.09, 17, 537416.380477, 537416.380477, 542.878065572, 14.3680655725, 0.0334282040378, -0.00647731341467, 0.354829133094
113.jpg, 1479401041.47, 17, 537416.411363, 537416.411363, 542.873499432, 14.3634994324, 0.0336128809128, -0.0064691426549, 0.354473653339
114.jpg, 1479401041.84, 17, 537416.413125, 537416.413125, 542.85, 14.34, 0.0337066905321, -0.00655410410351, 0.354343262283
115.jpg, 1479401042.23, 17, 537416.416344, 537416.416344, 542.845654099, 14.3356540989, 0.0336398925179, -0.00661304649035, 0.353993945711
116.jpg, 1479401042.56, 17, 537416.425333, 537416.425333, 542.84, 14.33, 0.0334792228116, -0.00650490236731, 0.353737132998
117.jpg, 1479401042.97, 17, 537416.435304, 537416.435304, 542.82, 14.31, 0.0334513773276, -0.00654200611161, 0.353557276156
118.jpg, 1479401043.31, 17, 537416.435304, 537416.435304, 542.82, 14.31, 0.0333876876039, -0.00653422466307, 0.353373172088
119.jpg, 1479401043.74, 17, 537416.418046, 537416.418046, 542.82933504, 14.3193350404, 0.033267983692, -0.00685657420998, 0.353142375804
120.jpg, 1479401044.09, 17, 537416.4022, 537416.4022, 542.822865039, 14.312865039, 0.0331972505633, -0.00684063564158, 0.352926662701
121.jpg, 1479401044.5, 17, 537416.377331, 537416.377331, 542.827606562, 14.3176065619, 0.0331583951656, -0.00686467703469, 0.352640194137
122.jpg, 1479401044.81, 17, 537416.35021, 537416.35021, 542.82, 14.31, 0.0330815542775, -0.00682911947219, 0.352494368687
123.jpg, 1479401045.22, 17, 537416.337464, 537416.337464, 542.83356763, 14.3235676299, 0.0328766186443, -0.00690166535169, 0.352379502579
124.jpg, 1479401045.55, 17, 537416.310349, 537416.310349, 542.84, 14.33, 0.0329081535905, -0.00689794415213, 0.352108535948
125.jpg, 1479401045.98, 17, 537416.301738, 537416.301738, 542.840252645, 14.3302526453, 0.0330293316661, -0.00697552076766, 0.352047665307
126.jpg, 1479401046.39, 17, 537416.272023, 537416.272023, 542.86, 14.35, 0.0331681936134, -0.00692673974007, 0.351958648697
127.jpg, 1479401046.77, 17, 537416.239791, 537416.239791, 542.86, 14.35, 0.0332357961338, -0.00698508602183, 0.351565976396
128.jpg, 1479401047.13, 17, 537416.261837, 537416.261837, 542.86, 14.35, 0.0329414857399, -0.00693432414672, 0.351479544626
129.jpg, 1479401047.49, 17, 537416.255005, 537416.255005, 542.85, 14.34, 0.0327237303558, -0.00697905309552, 0.351473608514
130.jpg, 1479401047.91, 17, 537416.221358, 537416.221358, 542.84679784, 14.3367978402, 0.0324710405335, -0.00680865908618, 0.351000550039
131.jpg, 1479401048.21, 17, 537416.21063, 537416.21063, 542.852216563, 14.3422165632, 0.0323071906883, -0.00670389276353, 0.350814923629
132.jpg, 1479401048.7, 17, 537416.198234, 537416.198234, 542.833815395, 14.3238153949, 0.0322796886912, -0.00661198937424, 0.350718055854
133.jpg, 1479401049.06, 17, 537416.190035, 537416.190035, 542.83, 14.32, 0.032334937039, -0.00647163208505, 0.350721935926
134.jpg, 1479401049.4, 17, 537416.195003, 537416.195003, 542.83, 14.32, 0.0324316298484, -0.00639326558602, 0.350601600294
135.jpg, 1479401049.81, 17, 537416.195194, 537416.195194, 542.841578168, 14.3315781679, 0.032472790338, -0.0062983558691, 0.350381139616
136.jpg, 1479401050.14, 17, 537416.195234, 537416.195234, 542.86649508, 14.3564950804, 0.0325055890818, -0.00612702942144, 0.350426326982
137.jpg, 1479401050.57, 17, 537416.179732, 537416.179732, 542.89, 14.38, 0.0325334000981, -0.00602645040627, 0.350297316654
138.jpg, 1479401050.92, 17, 537416.168179, 537416.168179, 542.883049753, 14.3730497529, 0.032487251431, -0.00601996186274, 0.350053120244
139.jpg, 1479401051.36, 17, 537416.126497, 537416.126497, 542.878954161, 14.3689541611, 0.032611210964, -0.00608905506644, 0.349842607109
140.jpg, 1479401051.69, 17, 537416.115865, 537416.115865, 542.89, 14.38, 0.0325416503277, -0.00604359042849, 0.349613486544
141.jpg, 1479401052.12, 17, 537416.092761, 537416.092761, 542.9, 14.39, 0.0323446019926, -0.006040635377, 0.349270183456
142.jpg, 1479401052.5, 17, 537416.084773, 537416.084773, 542.9, 14.39, 0.0323941148866, -0.00611284011292, 0.349194356878
143.jpg, 1479401052.82, 17, 537416.070301, 537416.070301, 542.9, 14.39, 0.0323631797606, -0.00590941360774, 0.349146802381
144.jpg, 1479401053.28, 17, 537416.059435, 537416.059435, 542.906103114, 14.3961031137, 0.032205119693, -0.00557896287823, 0.348843893022
145.jpg, 1479401053.66, 17, 537416.053923, 537416.053923, 542.92, 14.41, 0.0320479741012, -0.00543824374411, 0.348598995817
146.jpg, 1479401054.05, 17, 537416.045015, 537416.045015, 542.92, 14.41, 0.0317764271828, -0.0053444027855, 0.348262448856
147.jpg, 1479401054.46, 17, 537416.064774, 537416.064774, 542.91, 14.4, 0.0315056893171, -0.00503983190039, 0.347674279485
148.jpg, 1479401054.83, 17, 537416.080914, 537416.080914, 542.91, 14.4, 0.0315278011305, -0.00488565528044, 0.347322410218
149.jpg, 1479401055.16, 17, 537416.089142, 537416.089142, 542.901072637, 14.3910726365, 0.0315716362982, -0.00497092333301, 0.347143358733
150.jpg, 1479401055.57, 17, 537416.095901, 537416.095901, 542.92540452, 14.4154045203, 0.0317552584083, -0.00501991784904, 0.346923874062
151.jpg, 1479401056.01, 17, 537416.089415, 537416.089415, 542.920311917, 14.4103119168, 0.0318157418186, -0.00515639831049, 0.346614467994
152.jpg, 1479401056.36, 17, 537416.058361, 537416.058361, 542.93, 14.42, 0.0319329951879, -0.00521702732928, 0.346373713495
153.jpg, 1479401056.72, 17, 537416.05384, 537416.05384, 542.924312643, 14.4143126434, 0.0317873863909, -0.00516640125612, 0.346342816436
154.jpg, 1479401057.1, 17, 537416.023022, 537416.023022, 542.914917924, 14.4049179242, 0.0317128424488, -0.00507869750968, 0.346323386909
155.jpg, 1479401057.5, 17, 537415.942188, 537415.942188, 542.92, 14.41, 0.0318805965004, -0.00516416858753, 0.346155221565
156.jpg, 1479401057.82, 17, 537415.901766, 537415.901766, 542.93, 14.42, 0.0318125885902, -0.00538646092942, 0.346158709248
157.jpg, 1479401058.23, 17, 537415.881671, 537415.881671, 542.932119944, 14.4221199438, 0.0320491756209, -0.00554449444869, 0.345955510715
158.jpg, 1479401058.65, 17, 537415.851075, 537415.851075, 542.94898241, 14.4389824096, 0.0320329570616, -0.00553310886817, 0.345840726716
159.jpg, 1479401058.99, 17, 537415.844413, 537415.844413, 542.94, 14.43, 0.0320783472676, -0.00554229691932, 0.345673903167
160.jpg, 1479401059.35, 17, 537415.822201, 537415.822201, 542.95, 14.44, 0.0320142427955, -0.00573256109569, 0.345395854155
161.jpg, 1479401059.78, 17, 537415.805757, 537415.805757, 542.957347773, 14.4473477727, 0.0320563289853, -0.0056484727081, 0.34505927198
162.jpg, 1479401060.14, 17, 537415.805744, 537415.805744, 542.96, 14.45, 0.0319698680038, -0.00572988229631, 0.344936105933
163.jpg, 1479401060.53, 17, 537415.770437, 537415.770437, 542.96, 14.45, 0.0318388905148, -0.00585564908341, 0.344657903967
164.jpg, 1479401060.96, 17, 537415.756689, 537415.756689, 542.952728584, 14.4427285842, 0.0319623639674, -0.00602696809757, 0.344610951648
165.jpg, 1479401061.3, 17, 537415.769694, 537415.769694, 542.95, 14.44, 0.0320331278333, -0.00596953026997, 0.344585503621
166.jpg, 1479401061.68, 17, 537415.780975, 537415.780975, 542.95, 14.44, 0.03199478463, -0.0060925981997, 0.344474079382
167.jpg, 1479401062.09, 17, 537415.819211, 537415.819211, 542.96, 14.45, 0.0318558119486, -0.00597270719196, 0.344028937437
168.jpg, 1479401062.48, 17, 537415.82976, 537415.82976, 542.96747892, 14.4574789203, 0.0320245644736, -0.0060125170978, 0.343693419214
169.jpg, 1479401062.8, 17, 537415.815352, 537415.815352, 542.96, 14.45, 0.0321614876259, -0.00615494620826, 0.343601638756
170.jpg, 1479401063.24, 17, 537415.787205, 537415.787205, 542.970251397, 14.4602513971, 0.0321185960469, -0.00642341555499, 0.343444516882
